year,heading,notes
1998,PODER LEGISLATIVO,6
1999,AVISOS JUDICIALES Y GENERALES,6385
1999,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",16012
1999,GOBIERNO DEL DISTRITO FEDERAL,3
1999,ORGANISMOS AUTONOMOS,1609
1999,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,254
1999,PODER EJECUTIVO,3807
1999,PODER JUDICIAL,152
1999,PODER LEGISLATIVO,16
2000,AVISOS JUDICIALES Y GENERALES,5721
2000,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",14350
2000,GOBIERNO DEL DISTRITO FEDERAL,7
2000,ORGANISMOS AUTONOMOS,1525
2000,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,223
2000,PODER EJECUTIVO,5001
2000,PODER JUDICIAL,164
2000,PODER LEGISLATIVO,15
2001,AVISOS JUDICIALES Y GENERALES,5416
2001,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",13468
2001,GOBIERNO DEL DISTRITO FEDERAL,1
2001,ORGANISMOS AUTONOMOS,1266
2001,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,188
2001,PODER EJECUTIVO,4225
2001,PODER JUDICIAL,177
2001,PODER LEGISLATIVO,24
2002,AVISOS JUDICIALES Y GENERALES,5357
2002,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",12980
2002,ORGANISMOS AUTONOMOS,1413
2002,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,182
2002,PODER EJECUTIVO,3869
2002,PODER JUDICIAL,153
2002,PODER LEGISLATIVO,43
2003,AVISOS JUDICIALES Y GENERALES,5860
2003,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",12285
2003,ORGANISMOS AUTONOMOS,1293
2003,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,194
2003,PODER EJECUTIVO,3870
2003,PODER JUDICIAL,207
2003,PODER LEGISLATIVO,26
2004,AVISOS JUDICIALES Y GENERALES,5931
2004,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",12065
2004,ORGANISMOS AUTONOMOS,1248
2004,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,167
2004,PODER EJECUTIVO,5269
2004,PODER JUDICIAL,186
2004,PODER LEGISLATIVO,22
2005,AVISOS JUDICIALES Y GENERALES,5905
2005,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",12458
2005,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,568
2005,ORGANISMOS AUTONOMOS,1269
2005,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,178
2005,OTROS,1
2005,PODER EJECUTIVO,5150
2005,PODER JUDICIAL,148
2005,PODER LEGISLATIVO,29
2006,AVISOS JUDICIALES Y GENERALES,6633
2006,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",12914
2006,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,782
2006,ORGANISMOS AUTONOMOS,1297
2006,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,211
2006,OTROS,1
2006,PODER EJECUTIVO,5579
2006,PODER JUDICIAL,238
2006,PODER LEGISLATIVO,50
2007,AVISOS JUDICIALES Y GENERALES,7192
2007,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",13292
2007,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,764
2007,ORGANISMOS AUTONOMOS,971
2007,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,390
2007,OTROS,1
2007,PODER EJECUTIVO,4548
2007,PODER JUDICIAL,282
2007,PODER LEGISLATIVO,69
2008,AVISOS JUDICIALES Y GENERALES,8175
2008,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",14693
2008,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,1124
2008,ORGANISMOS AUTONOMOS,1142
2008,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,335
2008,OTROS,8
2008,PODER EJECUTIVO,4882
2008,PODER JUDICIAL,334
2008,PODER LEGISLATIVO,38
2009,AVISOS JUDICIALES Y GENERALES,8039
2009,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",12983
2009,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,857
2009,ORGANISMOS AUTONOMOS,1208
2009,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,362
2009,OTROS,16
2009,PODER EJECUTIVO,4946
2009,PODER JUDICIAL,315
2009,PODER LEGISLATIVO,39
2010,AVISOS JUDICIALES Y GENERALES,8766
2010,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",12583
2010,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,1127
2010,ORGANISMOS AUTONOMOS,1133
2010,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,404
2010,OTROS,9
2010,PODER EJECUTIVO,5523
2010,PODER JUDICIAL,278
2010,PODER LEGISLATIVO,65
2011,AVISOS JUDICIALES Y GENERALES,11353
2011,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",13771
2011,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,1270
2011,ENTIDADES FEDERATIVAS,91
2011,ORGANISMOS AUTONOMOS,1117
2011,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,419
2011,OTROS,1
2011,PODER EJECUTIVO,5883
2011,PODER JUDICIAL,297
2011,PODER LEGISLATIVO,32
2012,AVISOS JUDICIALES Y GENERALES,11774
2012,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",13909
2012,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,1157
2012,ENTIDADES FEDERATIVAS,15
2012,ORGANISMOS AUTONOMOS,1199
2012,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,411
2012,OTROS,3
2012,PODER EJECUTIVO,6330
2012,PODER JUDICIAL,253
2012,PODER LEGISLATIVO,40
2013,AVISOS JUDICIALES Y GENERALES,12402
2013,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",14181
2013,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,1098
2013,ORGANISMOS AUTONOMOS,1054
2013,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,392
2013,OTROS,1
2013,PODER EJECUTIVO,5110
2013,PODER JUDICIAL,201
2013,PODER LEGISLATIVO,32
2013,PODERES DE LA UNION,1
2014,AVISOS JUDICIALES Y GENERALES,11613
